,Location,Rank,University,Latitude,Longitude
0,Hyderabad,144,Acharya N.G. Ranga Agricultural University,16.3611173,80.434837
1,Guntur,148,Acharya Nagarjuna University,16.3763357,80.5277117
2,Rajahmundry,377,Adikavi Nannaya University,17.0655469,81.8725957
3,Ahmedabad,253,Ahmedabad University,23.0390246,72.5559727
4,Karaikudi,125,Alagappa University,10.0786931,78.7946626
5,Kolkata,355,Aliah University,22.5896952,88.48668
6,Aligarh ...,44,Aligarh Muslim University,27.9135016,78.0781901
7,Bhopal,228,All India Institute of Medical Sciences Bhopal,23.2105724,77.4575514
8,Bhubaneswar,139,All India Institute of Medical Sciences Bhubaneswar,20.231476,85.7757569
9,New Delhi,34,All India Institute of Medical Sciences Delhi,28.5629198,77.2092329
10,Jodhpur,154,All India Institute of Medical Sciences Jodhpur,26.2402896,73.0050841
11,Patna,247,All India Institute of Medical Sciences Patna,25.562921,85.0418548
12,Raipur,190,All India Institute of Medical Sciences Raipur,21.2567797,81.5791788
13,Rishikesh,204,All India Institute of Medical Sciences Rishikesh,30.0786773,78.285906
14,Bangalore,215,Alliance University,12.730493,77.706756
15,Noida ...,12,Amity University,28.544197,77.333377
16,Coimbatore ...,16,Amrita Vishwa Vidyapeetham,10.901849,76.901651
17,Anand,208,Anand Agricultural University,22.5358802,72.9748657
18,Visakhapatnam,89,Andhra University,17.728816,83.320085
19,Chennai,8,Anna University,13.0110816,80.2363137
20,Chidambaram,67,Annamalai University,11.3917829,79.7132032
21,Shimla,476,AP Goyal Shimla University,31.062824,77.16475
22,Gurgaon,430,Apeejay Stya University,28.214402,77.173098
23,Kathgarh,635,Arni University,32.1073359,75.6598384
24,Namsai,566,Arunachal University of Studies,27.6472891,95.870252
25,Patna,390,Aryabhatta Knowledge University,25.5923023,85.1349288
26,Sonipat,305,Ashoka University,28.9455317,77.10237
27,Jorhat,202,Assam Agricultural University,26.7247986,94.1956079
28,Guwahati,329,Assam Don Bosco University,26.1301133,91.8978789
29,Guwahati,538,Assam Down Town University,26.2016412,91.8614487
30,Jorhat,614,Assam Kaziranga University,26.7237624,94.0754292
31,Sivasagar,708,Assam Rajiv Gandhi University of Cooperative Management,26.9788721,94.6357145
32,Guwahati,713,Assam Science and Technology University,26.1411567,91.667016
33,Jorhat,733,Assam Women's University,26.7184477,94.1841411
34,Bhopal,712,Atal Bihari Vajpayee Hindi Vishwavidyalaya,23.1936676,77.4119211
35,Surat,562,AURO University,21.1775891,72.7357149
36,Coimbatore,481,Avinashilingam University,11.0198317,76.9516006
37,Rewa,455,Awadhesh Pratap Singh University,24.5676929,81.3326492
38,Raipur,593,Ayush and Health Sciences University of Chhattisgarh,21.2460598,81.6048279
39,Bangalore,295,Azim Premji University,12.8625774,77.6649177
40,Chennai,296,B.S. Abdur Rahman University,12.8769332,80.0828735
41,Faridkot,121,Baba Farid University of Health Sciences,30.683534,74.7348937
42,Rajouri,487,Baba Ghulam Shah Badhshah University,33.3969327,74.3471423
43,Rohtak,699,Baba Mast Nath University,28.8746918,76.6368803
44,Muzaffarpur,362,Babasaheb Bhimrao Ambedkar Bihar University,26.1100446,85.3769703
45,Lucknow,201,Babasaheb Bhimrao Ambedkar University,26.7678759,80.9262962
46,Lucknow,510,Babu Banarasi Das University,26.8888142,81.0590309
47,Baddi,605,Baddi University of Emerging Sciences and Technologies,30.9509643,76.7797254
48,Waknaghat ...,676,BAHRA University,31.0047473,77.0908589
49,Varanasi,22,Banaras Hindu University,25.2677203,82.9912582
50,Banasthali ...,191,Banasthali Vidyapith,26.4014222,75.8721614
51,Banda,687,Banda University of Agriculture and Technology,25.5258193,80.342393
52,Bangalore,137,Bangalore University,12.9503878,77.5022224
53,Bankura,643,Bankura University,23.2769403,87.0853934
54,Bhopal,403,Barkatullah University,23.2024513,77.456214
55,Bastar,618,Bastar Vishwavidyalaya,19.0986654,81.9872332
56,Berhampur,347,Berhampur University,19.2979079,84.8782246
57,Khanpur Kalan,442,Bhagat Phool Singh Mahila Vishwavidyalaya,29.1563606,76.8049546
58,Ajmer,515,Bhagwant University,26.5375004,74.6607913
59,Junagadh,574,Bhakta Kavi Narsinh Mehta University,21.4382972,70.5036811
60,New Delhi,192,Bharat Ratna Dr. B.R. Ambedkar University,28.6631319,77.2336672
61,Chennai,389,Bharath Institute of Higher Education and Research,12.908172,80.1410879
62,Coimbatore,129,Bharathiar University,11.0398268,76.8789576
63,Tiruchirappalli,108,Bharathidasan University,10.6779085,78.7445488
64,Pune ...,130,Bharati Vidyapeeth University,18.4588524,73.8558396
65,Lucknow,641,Bhatkhande Music Institute,26.853472,80.9330207
66,Madhepura,688,Bhupendra Narayan Mandal University,25.9359278,86.7952802
67,Nadia,276,Bidhan Chandra Krishi Vishwavidyalaya,22.9452453,88.5335715
68,Bhagalpur,523,Bihar Agricultural University,25.2376196,87.0507325
69,Rourkela ...,213,Biju Patnaik University of Technology,22.2472647,84.8191728
70,Bilaspur,386,Bilaspur Vishwavidyalaya,22.0764909,82.1647364
71,Ranchi ...,66,Birla Institute of Technology,23.4122599,85.4399411
72,Pilani ...,23,Birla Institute of Technology and Science,28.3639976,75.5869681
73,Ranchi,349,Birsa Agricultural University,23.442301,85.315631
74,Bijapur,540,BLDE University,16.845362,75.7128603
75,Gurgaon,372,BML Munjal University,28.2472264,76.8145901
76,Kokrajhar,551,Bodoland University,26.4701309,90.2942937
77,Jhansi,164,Bundelkhand University,25.4530312,78.609827
78,Wadhwan,608,C.U. Shah University,22.748421,71.7021042
79,Ahmedabad,703,Calorx Teachers University,23.1348979,72.5092039
80,Ahmedabad,723,"Calorx Teachers University, Ahmedabad",23.1348979,72.5092039
81,Hamirpur,710,Career Point University,25.013672,75.914911
82,Imphal,632,Central Agricultural University,24.8145194,93.8903515
83,Mumbai,391,Central Institute of Fisheries Education,19.1398223,72.8160876
84,Gandhinagar,307,Central University of Gujarat,23.2379056,72.6692587
85,Mahendragarh,272,Central University of Haryana,28.3601742,76.1466479
86,Kangra,271,Central University of Himachal Pradesh,32.2244897,76.1566006
87,Jammu,443,Central University of Jammu,32.6706592,74.9131308
88,Ranchi,258,Central University of Jharkhand,23.4411077,85.1458997
89,Gulbarga,303,Central University of Karnataka,17.4321204,76.6738951
90,Srinagar,185,Central University of Kashmir,34.2327694,74.7257155
91,Kasaragod,334,Central University of Kerala,12.39184,75.098053
92,Koraput,350,Central University of Orissa,18.8309159,82.8039551
93,Bathinda,398,Central University of Punjab,30.1714016,74.9659012
94,Ajmer,231,Central University of Rajasthan,26.6236356,75.0272417
95,Patna,306,Central University of South Bihar,25.5960388,85.0868261
96,Thiruvarur,237,Central University of Tamil Nadu,10.8128998,79.6114639
97,Varanasi,592,Central University of Tibetan Studies,25.3660345,83.0216646
98,Bhubaneswar,297,Centurion University of Technology and Management,18.8068529,84.1401833
99,Ahmedabad,87,CEPT University,23.0376776,72.5497422
100,Patna,469,Chanakya National Law University,25.592025,85.1356933
101,Mohali ...,94,Chandigarh University,30.770084,76.575865
102,Kanpur,483,Chandra Shekhar Azad University of Agriculture and Technology,26.4912007,80.3073227
103,Anand,435,Charotar University of Science and Technology,22.599589,72.8205
104,Bhiwani,640,Chaudhary Bansi Lal University,28.8133032,76.1273786
105,Hisar,79,Chaudhary Charan Singh Haryana Agricultural University,29.15027,75.7055885
106,Meerut,99,Chaudhary Charan Singh University,28.9691519,77.7405107
107,Sirsa,466,Chaudhary Devi Lal University,29.5470443,75.0424979
108,Jind,485,Chaudhary Ranbir Singh University,29.2941788,76.3398816
109,Chennai,123,Chennai Mathematical Institute,12.8286984,80.2205714
110,Kalyanpur,38,Chhatrapati Shahu Ji Maharaj University,26.4968544,80.266605
111,Raipur,627,Chhattisgarh Kamdhenu Vishwavidyalaya,21.2371196,81.6866973
112,Bhilai,188,Chhattisgarh Swami Vivekananda Technical University,21.1380497,81.3636216
113,Gandhinagar,611,Children's University,32.6690953,-97.1658105
114,Punjab,107,Chitkara University,30.5176089,76.6595696
115,Bangalore,40,Christ University,12.9359595,77.6058367
116,Bangalore,631,CMR University,13.1175674,77.6554441
117,Kochi,33,Cochin University of Science and Technology,10.0448151,76.3275411
118,Cooch Behar,664,Cooch Behar Panchanan Barma University,26.3215253,89.4696009
119,Guwahati,508,Cotton University,26.187224,91.7467906
120,Palampur,339,CSK Himachal Pradesh Krishi Vishvavidyalaya,32.1002575,76.5464524
121,Chennai,675,Dakshina Bharat Hindi Prachar Sabha,13.0352406,80.2394672
122,Visakhapatnam ...,554,Damodaram Sanjivayya National Law University,17.7914197,83.1096422
123,Nagpur,517,Datta Meghe Institute of Medical Sciences,20.7149298,78.576277
124,Davangere,536,Davangere University,14.3928715,75.9629639
125,Agra,156,Dayalbagh Educational Institute,27.2279199,78.0137765
126,Pune,550,Deccan College Post-Graduate and Research Institute,18.5494492,73.8732786
127,Gorakhpur,255,Deen Dayal Upadhyay Gorakhpur University,26.748484,83.3817193
128,Murthal,248,Deenbandhu Chhotu Ram University of Science and Technology,29.0272123,77.0621078
129,New Delhi,104,Delhi Technological University,28.7499867,77.1183137
130,Mandi Gobindgarh,581,Desh Bhagat University,30.6261474,76.249853
131,Shantikunj,416,Dev Sanskriti Vishwavidyalaya,29.9981428,78.1927787
132,Indore,73,Devi Ahilya Vishwavidyalaya,22.7163595,75.8719134
